id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h
bitcoin,btc,Bitcoin,108871.0,2169343861197.0,73006320952.0,111694.0,108787.0,-2.47072
ethereum,eth,Ethereum,3883.41,469208950324.0,57961143558.0,4021.71,3833.75,-3.43878
tether,usdt,Tether,1.001,173544768153.0,154909858198.0,1.001,1.0,0.0371
ripple,xrp,XRP,2.72,162766917236.0,8888885280.0,2.86,2.72,-3.68352
binancecoin,bnb,BNB,936.81,130397084090.0,3438138026.0,999.8,937.64,-4.70669
solana,sol,Solana,192.32,104605859378.0,11228879414.0,203.5,192.18,-5.32145
usd-coin,usdc,USDC,0.999612,73848672327.0,16248120196.0,0.999768,0.999576,-0.00877
dogecoin,doge,Dogecoin,0.223136,33729929130.0,3899488563.0,0.233916,0.221638,-3.91855
staked-ether,steth,Lido Staked Ether,3881.81,33168886582.0,82665316.0,4016.76,3829.62,-3.35965
tron,trx,TRON,0.333501,31573713030.0,896021967.0,0.335919,0.331048,0.51125
cardano,ada,Cardano,0.76372,27897944051.0,1882555282.0,0.798563,0.757302,-3.00177
wrapped-steth,wsteth,Wrapped stETH,4720.58,14815133798.0,64024171.0,4880.93,4644.36,-3.28533
ethena-usde,usde,Ethena USDe,0.999572,14326721381.0,1804978087.0,1.0,0.99888,-0.00236
wrapped-bitcoin,wbtc,Wrapped Bitcoin,109031.0,13861898818.0,373070292.0,111696.0,108797.0,-2.1129
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4191.81,13696893787.0,17171453.0,4335.51,4133.05,-3.27502
chainlink,link,Chainlink,20.05,13601489651.0,1124532210.0,21.11,19.93,-4.36336
figure-heloc,figr_heloc,Figure Heloc,1.007,12765275428.0,19497452.0,1.007,0.999857,0.6835
avalanche-2,avax,Avalanche,27.76,11739802863.0,1417235768.0,30.93,27.76,-10.23517
hyperliquid,hype,Hyperliquid,41.29,11222868738.0,1192108085.0,43.2,40.11,-3.34647
stellar,xlm,Stellar,0.348555,11125732400.0,258875513.0,0.365502,0.347974,-3.09868
sui,sui,Sui,3.1,11085994220.0,1635430344.0,3.24,3.09,-3.76182
bitcoin-cash,bch,Bitcoin Cash,540.31,10769731513.0,436233047.0,553.83,535.52,-1.19738
wrapped-eeth,weeth,Wrapped eETH,4187.88,10321206083.0,14653631.0,4330.58,4125.51,-3.29527
weth,weth,WETH,3889.97,9511109164.0,239196289.0,4022.46,3834.04,-3.29357
hedera-hashgraph,hbar,Hedera,0.206509,8767942218.0,280747898.0,0.217379,0.206048,-3.33269
leo-token,leo,LEO Token,9.5,8764636767.0,967874.0,9.54,9.46,0.15833
usds,usds,USDS,0.999252,8136359480.0,15016818.0,0.999938,0.999256,-0.03315
litecoin,ltc,Litecoin,101.5,7749916249.0,569958943.0,105.15,100.84,-2.12067
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.9998,7486393139.0,4309047169.0,1.002,0.998062,-0.01816
shiba-inu,shib,Shiba Inu,1.158e-05,6827751237.0,234114392.0,1.199e-05,1.156e-05,-2.53055
the-open-network,ton,Toncoin,2.65,6754436371.0,152962995.0,2.78,2.65,-4.63006
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,108889.0,6664841970.0,515619136.0,111774.0,108721.0,-2.37918
crypto-com-chain,cro,Cronos,0.189924,6610761765.0,106138750.0,0.200118,0.180517,0.31253
usdt0,usdt0,USDT0,1.0,6404447297.0,816189220.0,1.002,0.998352,0.01529
ethena-staked-usde,susde,Ethena Staked USDe,1.2,6033227066.0,567020743.0,1.2,1.19,0.02385
whitebit,wbt,WhiteBIT Coin,40.45,5844279114.0,105030020.0,41.47,40.45,-2.41783
polkadot,dot,Polkadot,3.8,5780992326.0,315553637.0,3.98,3.79,-3.35945
mantle,mnt,Mantle,1.7,5536046567.0,513936176.0,1.72,1.57,-0.11192
monero,xmr,Monero,294.29,5436260201.0,100284788.0,299.65,286.06,-0.10659
world-liberty-financial,wlfi,World Liberty Financial,0.192145,5225076443.0,558350659.0,0.203877,0.185516,-4.16829
dai,dai,Dai,0.998947,4629087556.0,184269504.0,1.001,0.997629,-0.07251
uniswap,uni,Uniswap,7.38,4430128377.0,337267323.0,7.77,7.33,-4.93555
aave,aave,Aave,258.42,3938666997.0,564793056.0,269.33,256.72,-3.53142
ethena,ena,Ethena,0.569817,3927020293.0,533380899.0,0.58472,0.552707,-1.17291
okb,okb,OKB,186.36,3915535368.0,269438549.0,193.89,179.13,1.11818
pepe,pepe,Pepe,9.1e-06,3832318886.0,721678375.0,9.54e-06,8.9e-06,-3.1123
memecore,m,MemeCore,2.16,3653789965.0,24388522.0,2.31,2.16,-3.36984
bitget-token,bgb,Bitget Token,5.12,3583614799.0,552919679.0,5.34,5.12,-4.13859
near,near,NEAR Protocol,2.67,3336438768.0,333709861.0,2.91,2.66,-7.09286
aster-2,aster,Aster,1.81,2998777370.0,2253320823.0,2.05,1.76,-11.90024
jito-staked-sol,jitosol,Jito Staked SOL,236.98,2827892955.0,63399516.0,250.45,236.92,-5.31135
bittensor,tao,Bittensor,294.46,2826855310.0,125571970.0,306.07,291.63,-2.19933
aptos,apt,Aptos,3.92,2758428141.0,622184012.0,4.13,3.91,-4.97357
ondo-finance,ondo,Ondo,0.865642,2739873395.0,190766493.0,0.908209,0.860366,-3.73611
ethereum-classic,etc,Ethereum Classic,17.81,2738308043.0,83785515.0,18.45,17.66,-2.53851
usd1-wlfi,usd1,USD1,0.999117,2695744335.0,621573334.0,1.002,0.998596,-0.08448
worldcoin-wld,wld,Worldcoin,1.22,2585110098.0,271697599.0,1.31,1.23,-3.72102
binance-staked-sol,bnsol,Binance Staked SOL,206.62,2460980899.0,8162177.0,218.76,206.16,-5.14291
susds,susds,sUSDS,1.069,2365475230.0,19273944.0,1.077,1.061,0.01161
binance-peg-weth,weth,Binance-Peg WETH,3881.88,2355188313.0,122347328.0,4022.1,3834.38,-3.45427
story-2,ip,Story,7.3,2279794156.0,279280551.0,9.71,7.17,-24.83309
polygon-ecosystem-token,pol,POL (ex-MATIC),0.215304,2264934193.0,100543475.0,0.222397,0.211851,-2.55586
plasma,xpl,Plasma,1.19,2207044002.0,5614977714.0,1.54,0.721826,-8.59154
internet-computer,icp,Internet Computer,4.08,2200372690.0,82872980.0,4.21,4.02,-2.50432
arbitrum,arb,Arbitrum,0.405867,2194216910.0,489571143.0,0.426515,0.400957,-2.95211
pi-network,pi,Pi Network,0.26083,2138518578.0,66443403.0,0.272894,0.258999,-4.42067
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,5.37,2114074741.0,74452592.0,5.49,5.37,-2.02604
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2102237855.0,0.0,1.0,1.0,0.0
kaspa,kas,Kaspa,0.077611,2047576357.0,64793738.0,0.07974,0.074579,1.47953
falcon-finance,usdf,Falcon USD,0.998386,2001665329.0,107552343.0,0.999774,0.99386,0.25799
