coin_id,symbol,coin_name,price_usd,market_cap_usd,volume_24h,high_24h_usd,low_24h_usd,price_change_pct_24h,log_market_cap,log_price,log_volume24h
bitcoin,btc,Bitcoin,108871.0,2169343861197.0,73006320952.0,111694.0,108787.0,-2.47072,28.40544586964694,11.597928159240153,25.013811862743502
ethereum,eth,Ethereum,3883.41,469208950324.0,57961143558.0,4021.71,3833.75,-3.43878,26.874314029257775,8.26472638511705,24.783038684345733
tether,usdt,Tether,1.001,173544768153.0,154909858198.0,1.001,1.0,0.0371,25.87970143275544,0.6936470556015963,25.766109224687593
ripple,xrp,XRP,2.72,162766917236.0,8888885280.0,2.86,2.72,-3.68352,25.815585058789743,1.3137236682850553,22.90806748839649
binancecoin,bnb,BNB,936.81,130397084090.0,3438138026.0,999.8,937.64,-4.70669,25.59385012492361,6.843547369853059,21.95819589057064
solana,sol,Solana,192.32,104605859378.0,11228879414.0,203.5,192.18,-5.32145,25.373465404015988,5.264346846976883,23.14175481576689
usd-coin,usdc,USDC,0.999612,73848672327.0,16248120196.0,0.999768,0.999576,-0.00877,25.02528386780688,0.6929531617395112,23.511243058846073
dogecoin,doge,Dogecoin,0.223136,33729929130.0,3899488563.0,0.233916,0.221638,-3.91855,24.241651384950465,0.201418052484943,22.08411124404685
staked-ether,steth,Lido Staked Ether,3881.81,33168886582.0,82665316.0,4016.76,3829.62,-3.35965,24.224878122353747,8.264314397295763,18.23031068871496
tron,trx,TRON,0.333501,31573713030.0,896021967.0,0.335919,0.331048,0.51125,24.175590745239067,0.2878078145459124,20.61347548849579
cardano,ada,Cardano,0.76372,27897944051.0,1882555282.0,0.798563,0.757302,-3.00177,24.051818833166024,0.5674252148269044,21.355895884006596
wrapped-steth,wsteth,Wrapped stETH,4720.58,14815133798.0,64024171.0,4880.93,4644.36,-3.28533,23.418915049250767,8.45989876832745,17.974771257517975
ethena-usde,usde,Ethena USDe,0.999572,14326721381.0,1804978087.0,1.0,0.99888,-0.00236,23.385392258610548,0.6929331576586779,21.313814289045382
wrapped-bitcoin,wbtc,Wrapped Bitcoin,109031.0,13861898818.0,373070292.0,111696.0,108797.0,-2.1129,23.352409821252387,11.599396696107348,19.737277412936148
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4191.81,13696893787.0,17171453.0,4335.51,4133.05,-3.27502,23.340434913270258,8.341126432526135,16.658758911874195
chainlink,link,Chainlink,20.05,13601489651.0,1124532210.0,21.11,19.93,-4.36336,23.333445156925386,3.0469005601283903,20.840632973684382
figure-heloc,figr_heloc,Figure Heloc,1.007,12765275428.0,19497452.0,1.007,0.999857,0.6835,23.269994464297014,0.696641069814201,16.78579439961843
avalanche-2,avax,Avalanche,27.76,11739802863.0,1417235768.0,30.93,27.76,-10.23517,23.18625085938255,3.358985532852846,21.071974169841152
hyperliquid,hype,Hyperliquid,41.29,11222868738.0,1192108085.0,43.2,40.11,-3.34647,23.141219385197974,3.7445506514843974,20.89898907765323
stellar,xlm,Stellar,0.348555,11125732400.0,258875513.0,0.365502,0.347974,-3.09868,23.13252649662952,0.29903364882450256,19.371857863192297
sui,sui,Sui,3.1,11085994220.0,1635430344.0,3.24,3.09,-3.76182,23.128948366655777,1.410986973710262,21.215171814613562
bitcoin-cash,bch,Bitcoin Cash,540.31,10769731513.0,436233047.0,553.83,535.52,-1.19738,23.100005398741764,6.293992127676257,19.89368717227318
wrapped-eeth,weeth,Wrapped eETH,4187.88,10321206083.0,14653631.0,4330.58,4125.51,-3.29527,23.057466458775874,8.340188674081716,16.500198780789475
weth,weth,WETH,3889.97,9511109164.0,239196289.0,4022.46,3834.04,-3.29357,22.97572633814338,8.266413762854599,19.292795069887024
hedera-hashgraph,hbar,Hedera,0.206509,8767942218.0,280747898.0,0.217379,0.206048,-3.33269,22.894367977144043,0.18773106564899328,19.452967668028556
leo-token,leo,LEO Token,9.5,8764636767.0,967874.0,9.54,9.46,0.15833,22.89399091327436,2.3513752571634776,13.782858225689024
usds,usds,USDS,0.999252,8136359480.0,15016818.0,0.999938,0.999256,-0.03315,22.819608678713635,0.6927731106045025,16.524681397583187
litecoin,ltc,Litecoin,101.5,7749916249.0,569958943.0,105.15,100.84,-2.12067,22.770947873801664,4.629862798578463,20.16107488812855
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.9998,7486393139.0,4309047169.0,1.002,0.998062,-0.01816,22.73635296174753,0.6930471755596119,22.183982642375614
shiba-inu,shib,Shiba Inu,1.15805,6827751237.0,234114392.0,1.199e-05,1.156e-05,-2.53055,22.644261208584574,0.7692050361690147,19.271320412843714
the-open-network,ton,Toncoin,2.65,6754436371.0,152962995.0,2.78,2.65,-4.63006,22.63346536623933,1.2947271675944,18.84570659389563
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,108889.0,6664841970.0,515619136.0,111774.0,108721.0,-2.37918,22.62011208001842,11.598093477340107,20.060878944321907
crypto-com-chain,cro,Cronos,0.189924,6610761765.0,106138750.0,0.200118,0.180517,0.31253,22.611964728647933,0.1738894395377287,18.480257767817868
usdt0,usdt0,USDT0,1.0,6404447297.0,816189220.0,1.002,0.998352,0.01529,22.580258476300052,0.6931471805599453,20.520156774526797
ethena-staked-usde,susde,Ethena Staked USDe,1.2,6033227066.0,567020743.0,1.2,1.19,0.02385,22.520547873190548,0.7884573603642702,20.15590644656071
whitebit,wbt,WhiteBIT Coin,40.45,5844279114.0,105030020.0,41.47,40.45,-2.41783,22.488729090645748,3.724487881581304,18.46975678154181
polkadot,dot,Polkadot,3.8,5780992326.0,315553637.0,3.98,3.79,-3.35945,22.477841187766852,1.5686159179138452,19.56983923500428
mantle,mnt,Mantle,1.7,5536046567.0,513936176.0,1.72,1.57,-0.11192,22.43454646707611,0.9932517730102833,20.057609646449098
monero,xmr,Monero,294.29,5436260201.0,100284788.0,299.65,286.06,-0.10659,22.416357198535664,5.68795792430923,18.423524586396482
world-liberty-financial,wlfi,World Liberty Financial,0.192145,5225076443.0,558350659.0,0.203877,0.185516,-4.16829,22.376735265120885,0.1757542055403927,20.140497745909645
dai,dai,Dai,0.998947,4629087556.0,184269504.0,1.001,0.997629,-0.07251,22.255625613701085,0.6926205419101521,19.031909945031863
uniswap,uni,Uniswap,7.38,4430128377.0,337267323.0,7.77,7.33,-4.93555,22.21169439981607,2.1258479144939915,19.63638642015388
aave,aave,Aave,258.42,3938666997.0,564793056.0,269.33,256.72,-3.53142,22.0941081776306,5.558448369912527,20.151969951220725
ethena,ena,Ethena,0.569817,3927020293.0,533380899.0,0.58472,0.552707,-1.17291,22.09114678034151,0.45095905205695846,20.09474636104707
okb,okb,OKB,186.36,3915535368.0,269438549.0,193.89,179.13,1.11818,22.08821790518815,5.233031899849407,19.41185090747169
pepe,pepe,Pepe,9.106,3832318886.0,721678375.0,9.54e-06,8.9e-06,-3.1123,22.06673591045073,2.3131293068697167,20.397090135005282
memecore,m,MemeCore,2.16,3653789965.0,24388522.0,2.31,2.16,-3.36984,22.019030812680917,1.1505720275988207,17.009623210752842
bitget-token,bgb,Bitget Token,5.12,3583614799.0,552919679.0,5.34,5.12,-4.13859,21.999637848604383,1.8115620965242347,20.130723304814694
near,near,NEAR Protocol,2.67,3336438768.0,333709861.0,2.91,2.66,-7.09286,21.92816983827381,1.3001916620664788,19.625782496776065
aster-2,aster,Aster,1.81,2998777370.0,2253320823.0,2.05,1.76,-11.90024,21.8214704995463,1.0331844833456545,21.535670886838474
jito-staked-sol,jitosol,Jito Staked SOL,236.98,2827892955.0,63399516.0,250.45,236.92,-5.31135,21.7627977327792,5.472186636527008,17.964966801081903
bittensor,tao,Bittensor,294.46,2826855310.0,125571970.0,306.07,291.63,-2.19933,21.76243073323735,5.688533463893462,18.648389626266265
aptos,apt,Aptos,3.92,2758428141.0,622184012.0,4.13,3.91,-4.97357,21.737926840672788,1.5933085305042167,20.248746447787195
ondo-finance,ondo,Ondo,0.865642,2739873395.0,190766493.0,0.908209,0.860366,-3.73611,21.73117755043945,0.6236052297851195,19.066560693591118
ethereum-classic,etc,Ethereum Classic,17.81,2738308043.0,83785515.0,18.45,17.66,-2.53851,21.730606064423608,2.934388643312939,18.243770710418275
usd1-wlfi,usd1,USD1,0.999117,2695744335.0,621573334.0,1.002,0.998596,-0.08448,21.714940194639208,0.6927055830701248,20.247764458735947
worldcoin-wld,wld,Worldcoin,1.22,2585110098.0,271697599.0,1.31,1.23,-3.72102,21.673033935489173,0.7975071958841881,19.42020024108557
binance-staked-sol,bnsol,Binance Staked SOL,206.62,2460980899.0,8162177.0,218.76,206.16,-5.14291,21.623825847252476,5.3357094857651,15.915021603090388
susds,susds,sUSDS,1.069,2365475230.0,19273944.0,1.077,1.061,0.01161,21.58424478204428,0.7270653987634059,16.774264741804156
